sampleid	labels	effect_size	microbe_total	class_logits	intercept	groups
S0	-1	1	100000	-1.1287163696333486	1	 A
S1	-1	1	100000	-2.8131158850361793	1	 A
S2	-1	1	100000	-0.9003464687553444	1	 A
S3	-1	1	100000	-1.1300840364215836	1	 A
S4	-1	1	100000	-1.1606318567712917	1	 A
S5	-1	1	100000	-1.3533355527200426	1	 A
S6	-1	1	100000	-1.6787447292438933	1	 A
S7	-1	1	100000	-0.7567724994435281	1	 A
S8	-1	1	100000	-1.4244714064136506	1	 A
S9	-1	1	100000	-1.505389887925546	1	 A
S10	-1	1	100000	-0.7528182257686706	1	 A
S11	-1	1	100000	-0.9416496785640672	1	 A
S12	-1	1	100000	-1.9305282948670488	1	 A
S13	-1	1	100000	-0.9728370789519752	1	 A
S14	-1	1	100000	-1.7432758398428145	1	 A
S15	-1	1	100000	-0.3514837091375108	1	 A
S16	-1	1	100000	-0.11693678692645215	1	 A
S17	-1	1	100000	-1.0115268357246596	1	 A
S18	-1	1	100000	-0.14605854848699118	1	 A
S19	-1	1	100000	-2.2235868489862876	1	 A
S20	-1	1	100000	-0.9895074347176456	1	 A
S21	-1	1	100000	-2.3307273582780574	1	 A
S22	-1	1	100000	-1.144758071091946	1	 A
S23	-1	1	100000	-2.1181892826019633	1	 A
S24	-1	1	100000	-1.9631531909529993	1	 A
S25	-1	1	100000	-0.8040389728669308	1	 B
S26	-1	1	100000	-1.6154841354658103	1	 B
S27	-1	1	100000	-2.0611631602807003	1	 B
S28	-1	1	100000	-1.6319414202459779	1	 B
S29	-1	1	100000	-1.3099014391575745	1	 B
S30	-1	1	100000	-1.06451438731707	1	 B
S31	-1	1	100000	-1.6877172927993267	1	 B
S32	-1	1	100000	-0.7114350589189418	1	 B
S33	-1	1	100000	-1.03387327834166	1	 B
S34	-1	1	100000	-0.9895261769835304	1	 B
S35	-1	1	100000	-1.2301963869342543	1	 B
S36	-1	1	100000	-0.3265039006744874	1	 B
S37	-1	1	100000	-0.8386047265213035	1	 B
S38	-1	1	100000	-1.8206119374673828	1	 B
S39	-1	1	100000	-0.5745584820160431	1	 B
S40	-1	1	100000	0.6517850032835066	1	 B
S41	-1	1	100000	-0.999983277659565	1	 B
S42	-1	1	100000	0.04292406649269953	1	 B
S43	-1	1	100000	-1.3280557425307824	1	 B
S44	-1	1	100000	-0.8648956747786236	1	 B
S45	-1	1	100000	-1.1459353239462609	1	 B
S46	-1	1	100000	-1.1271868781193894	1	 B
S47	-1	1	100000	-0.3771368546277787	1	 B
S48	-1	1	100000	-0.9286709284728392	1	 B
S49	-1	1	100000	0.5130819583396626	1	 B
S50	1	1	100000	1.0886478036293255	1	 B
S51	1	1	100000	-0.207108908804156	1	 B
S52	1	1	100000	0.726029838479157	1	 B
S53	1	1	100000	1.8706436551975156	1	 B
S54	1	1	100000	0.8103070997376792	1	 B
S55	1	1	100000	-0.7884360641074251	1	 B
S56	1	1	100000	0.44313791157555027	1	 B
S57	1	1	100000	-0.31570268119627154	1	 B
S58	1	1	100000	3.5427316728748384	1	 B
S59	1	1	100000	2.748115045274469	1	 B
S60	1	1	100000	1.693954919300271	1	 B
S61	1	1	100000	1.2065211102052587	1	 B
S62	1	1	100000	1.5900335281525857	1	 B
S63	1	1	100000	0.20443668343399757	1	 B
S64	1	1	100000	0.5596270448598033	1	 B
S65	1	1	100000	1.048170975382029	1	 B
S66	1	1	100000	0.7049769592133937	1	 B
S67	1	1	100000	-0.5196811082063493	1	 B
S68	1	1	100000	3.033309521676479	1	 B
S69	1	1	100000	0.8821675021967591	1	 B
S70	1	1	100000	1.0080010494877762	1	 B
S71	1	1	100000	0.6312277279168086	1	 B
S72	1	1	100000	0.4763521865826231	1	 B
S73	1	1	100000	0.7697977831268732	1	 B
S74	1	1	100000	1.7999946856973437	1	 B
S75	1	1	100000	1.5145646464623472	1	 B
S76	1	1	100000	0.7535498445833877	1	 A
S77	1	1	100000	-1.1641852066664828	1	 A
S78	1	1	100000	1.6850767077887008	1	 A
S79	1	1	100000	0.5011371164609385	1	 A
S80	1	1	100000	1.166902470424177	1	 A
S81	1	1	100000	-0.8205990318753438	1	 A
S82	1	1	100000	1.3365613238947152	1	 A
S83	1	1	100000	0.7711328027344627	1	 A
S84	1	1	100000	0.9941475306515227	1	 A
S85	1	1	100000	0.8281394002807911	1	 A
S86	1	1	100000	0.6923955637450608	1	 A
S87	1	1	100000	1.1023113069780288	1	 A
S88	1	1	100000	2.7905765499104045	1	 A
S89	1	1	100000	-0.031345892729438996	1	 A
S90	1	1	100000	0.6075354563385127	1	 A
S91	1	1	100000	-0.5661086828071595	1	 A
S92	1	1	100000	1.5188339070041095	1	 A
S93	1	1	100000	1.3261140578599486	1	 A
S94	1	1	100000	0.3513973805338041	1	 A
S95	1	1	100000	0.8319423819254359	1	 A
S96	1	1	100000	1.2960393072981136	1	 A
S97	1	1	100000	1.3349512494136104	1	 A
S98	1	1	100000	0.20887524869411667	1	 A
S99	1	1	100000	2.0040851214633806	1	 A
